MFG,MAGELLAN FINANCIAL GROUP LIMITED,0
MGR,MIRVAC GROUP,0
MIN,MINERAL RESOURCES LIMITED,0
MMS,MCMILLAN SHAKESPEARE LIMITED,0
MND,MONADELPHOUS GROUP LIMITED,0
MNF,MNF GROUP LIMITED,0
MPL,MEDIBANK PRIVATE LIMITED,0
MQG,MACQUARIE GROUP LIMITED,0
MSB,MESOBLAST LIMITED,0
MTS,METCASH LIMITED,0
MYO,MYOB GROUP LIMITED,0
NAB,NATIONAL AUSTRALIA BANK LIMITED,0
NAN,NANOSONICS LIMITED,0
NCM,NEWCREST MINING LIMITED,0
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,0
NHC,NEW HOPE CORPORATION LIMITED,0
NHF,NIB HOLDINGS LIMITED,0
NSR,NATIONAL STORAGE REIT,0
NST,NORTHERN STAR RESOURCES LTD,0
NUF,NUFARM LIMITED,0
NVT,NAVITAS LIMITED,0
NWL,NETWEALTH GROUP LIMITED,0
NWS,NEWS CORPORATION..,0
NXT,NEXTDC LIMITED,0
OFX,OFX GROUP LIMITED,0
OGC,OCEANAGOLD CORPORATION,0
OML,OOH!MEDIA LIMITED,0
OMN,ONEMARKET LIMITED,0
ORA,ORORA LIMITED,0
ORE,OROCOBRE LIMITED,0
ORG,ORIGIN ENERGY LIMITED,0
ORI,ORICA LIMITED,0
OSH,OIL SEARCH LIMITED,0
OZL,OZ MINERALS LIMITED,0
PGH,PACT GROUP HOLDINGS LTD,0
PME,PRO MEDICUS LIMITED,0
PMV,PREMIER INVESTMENTS LIMITED,0
PPT,PERPETUAL LIMITED,0
PRY,PRIMARY HEALTH CARE LIMITED,0
PTM,PLATINUM ASSET MANAGEMENT LIMITED,0
QAN,QANTAS AIRWAYS LIMITED,0
QBE,QBE INSURANCE GROUP LIMITED,0
QUB,QUBE HOLDINGS LIMITED,0
REA,REA GROUP LTD,0
REG,REGIS HEALTHCARE LIMITED,0
RFF,RURAL FUNDS GROUP,0
RHC,RAMSAY HEALTH CARE LIMITED,0
RIO,RIO TINTO LIMITED,0
RMD,RESMED INC,0
RRL,REGIS RESOURCES LIMITED,0
RSG,RESOLUTE MINING LIMITED,0
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,0
S32,SOUTH32 LIMITED,0
SAR,SARACEN MINERAL HOLDINGS LIMITED,0
SBM,ST BARBARA LIMITED,0
SCG,SCENTRE GROUP,0
SCP,SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,0
SDA,SPEEDCAST INTERNATIONAL LIMITED,0
SDF,STEADFAST GROUP LIMITED,0
SEK,SEEK LIMITED,0
SFR,SANDFIRE RESOURCES NL,0
SGF,SG FLEET GROUP LIMITED,0
SGM,SIMS METAL MANAGEMENT LIMITED,0
SGP,STOCKLAND,0
SGR,THE STAR ENTERTAINMENT GROUP LIMITED,0
SHL,SONIC HEALTHCARE LIMITED,0
SHV,SELECT HARVESTS LIMITED,0
SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,0
SKI,SPARK INFRASTRUCTURE GROUP,0
SKT,SKY NETWORK TELEVISION LIMITED.,0
SLF,SPDR S&P/ASX 200 LISTED PROPERTY FUND,0
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,0
SPK,SPARK NEW ZEALAND LIMITED,0
SRX,SIRTEX MEDICAL LIMITED,0
STO,SANTOS LIMITED,0
STW,SPDR S&P/ASX 200 FUND,0
SUL,SUPER RETAIL GROUP LIMITED,0
SUN,SUNCORP GROUP LIMITED,0
SVW,SEVEN GROUP HOLDINGS LIMITED,0
SXL,SOUTHERN CROSS MEDIA GROUP LIMITED,0
SYD,SYDNEY AIRPORT,0
SYR,SYRAH RESOURCES LIMITED,0
TAH,TABCORP HOLDINGS LIMITED,0
TCL,TRANSURBAN GROUP,0
TGR,TASSAL GROUP LIMITED,0
TLS,TELSTRA CORPORATION LIMITED.,0
TME,TRADE ME GROUP LIMITED,0
TNE,TECHNOLOGY ONE LIMITED,0
TPM,TPG TELECOM LIMITED,0
TRS,THE REJECT SHOP LIMITED,0
TWE,TREASURY WINE ESTATES LIMITED,0
URW,UNIBAIL-RODAMCO-WESTFIELD,0
VCX,VICINITY CENTRES,0
VOC,VOCUS GROUP LIMITED,0
VRL,VILLAGE ROADSHOW LIMITED,0
VRT,VIRTUS HEALTH LIMITED,0
WBC,WESTPAC BANKING CORPORATION,0
WEB,WEBJET LIMITED,0
WES,WESFARMERS LIMITED,0
WHC,WHITEHAVEN COAL LIMITED,0
WND,WINDLAB LIMITED,0
WOR,WORLEYPARSONS LIMITED,0
WOW,WOOLWORTHS GROUP LIMITED,0
WPL,WOODSIDE PETROLEUM LIMITED,0
WSA,WESTERN AREAS LIMITED,0
WTC,WISETECH GLOBAL LIMITED,0
XRO,XERO LIMITED,0
