Company name,Code
OZ MINERALS LIMITED,OZL
PACT GROUP HOLDINGS LTD,PGH
PRO MEDICUS LIMITED,PME
PREMIER INVESTMENTS LIMITED,PMV
PERPETUAL LIMITED,PPT
PRIMARY HEALTH CARE LIMITED,PRY
PLATINUM ASSET MANAGEMENT LIMITED,PTM
QANTAS AIRWAYS LIMITED,QAN
QBE INSURANCE GROUP LIMITED,QBE
QUBE HOLDINGS LIMITED,QUB
REA GROUP LTD,REA
REGIS HEALTHCARE LIMITED,REG
RURAL FUNDS GROUP,RFF
RAMSAY HEALTH CARE LIMITED,RHC
RIO TINTO LIMITED,RIO
RESMED INC,RMD
REGIS RESOURCES LIMITED,RRL
RESOLUTE MINING LIMITED,RSG
RELIANCE WORLDWIDE CORPORATION LIMITED,RWC
SOUTH32 LIMITED,S32
SARACEN MINERAL HOLDINGS LIMITED,SAR
ST BARBARA LIMITED,SBM
SCENTRE GROUP,SCG
SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,SCP
SPEEDCAST INTERNATIONAL LIMITED,SDA
STEADFAST GROUP LIMITED,SDF
SEEK LIMITED,SEK
SANDFIRE RESOURCES NL,SFR
SG FLEET GROUP LIMITED,SGF
SIMS METAL MANAGEMENT LIMITED,SGM
STOCKLAND,SGP
THE STAR ENTERTAINMENT GROUP LIMITED,SGR
SONIC HEALTHCARE LIMITED,SHL
SELECT HARVESTS LIMITED,SHV
SKYCITY ENTERTAINMENT GROUP LIMITED,SKC
SPARK INFRASTRUCTURE GROUP,SKI
SKY NETWORK TELEVISION LIMITED.,SKT
SPDR S&P/ASX 200 LISTED PROPERTY FUND,SLF
WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,SOL
SPARK NEW ZEALAND LIMITED,SPK
SIRTEX MEDICAL LIMITED,SRX
SANTOS LIMITED,STO
SPDR S&P/ASX 200 FUND,STW
SUPER RETAIL GROUP LIMITED,SUL
SUNCORP GROUP LIMITED,SUN
SEVEN GROUP HOLDINGS LIMITED,SVW
SOUTHERN CROSS MEDIA GROUP LIMITED,SXL
SYDNEY AIRPORT,SYD
SYRAH RESOURCES LIMITED,SYR
TABCORP HOLDINGS LIMITED,TAH
TRANSURBAN GROUP,TCL
TASSAL GROUP LIMITED,TGR
TELSTRA CORPORATION LIMITED.,TLS
TRADE ME GROUP LIMITED,TME
TECHNOLOGY ONE LIMITED,TNE
TPG TELECOM LIMITED,TPM
THE REJECT SHOP LIMITED,TRS
TREASURY WINE ESTATES LIMITED,TWE
UNIBAIL-RODAMCO-WESTFIELD,URW
VICINITY CENTRES,VCX
VOCUS GROUP LIMITED,VOC
VILLAGE ROADSHOW LIMITED,VRL
VIRTUS HEALTH LIMITED,VRT
WESTPAC BANKING CORPORATION,WBC
WEBJET LIMITED,WEB
WESFARMERS LIMITED,WES
WHITEHAVEN COAL LIMITED,WHC
WINDLAB LIMITED,WND
WORLEYPARSONS LIMITED,WOR
WOOLWORTHS GROUP LIMITED,WOW
WOODSIDE PETROLEUM LIMITED,WPL
WESTERN AREAS LIMITED,WSA
WISETECH GLOBAL LIMITED,WTC
XERO LIMITED,XRO
